"08:57:04.615 -> IR=114806, BPM=83.33, Avg BPM=92"
"08:57:04.635 -> IR=114831, BPM=83.33, Avg BPM=92"
"08:57:04.656 -> IR=114858, BPM=83.33, Avg BPM=92"
"08:57:04.679 -> IR=114899, BPM=83.33, Avg BPM=92"
"08:57:04.695 -> IR=114951, BPM=83.33, Avg BPM=92"
"08:57:04.715 -> IR=114992, BPM=83.33, Avg BPM=92"
"08:57:04.735 -> IR=115035, BPM=83.33, Avg BPM=92"
"08:57:04.755 -> IR=115065, BPM=83.33, Avg BPM=92"
"08:57:04.775 -> IR=115095, BPM=83.33, Avg BPM=92"
"08:57:04.809 -> IR=115123, BPM=90.77, Avg BPM=89"
"08:57:04.827 -> IR=115117, BPM=90.77, Avg BPM=89"
"08:57:04.844 -> IR=115109, BPM=90.77, Avg BPM=89"
"08:57:04.861 -> IR=114975, BPM=90.77, Avg BPM=89"
"08:57:04.877 -> IR=114668, BPM=90.77, Avg BPM=89"
"08:57:04.895 -> IR=114442, BPM=90.77, Avg BPM=89"
"08:57:04.915 -> IR=114383, BPM=90.77, Avg BPM=89"
"08:57:04.935 -> IR=114430, BPM=90.77, Avg BPM=89"
"08:57:04.955 -> IR=114526, BPM=90.77, Avg BPM=89"
"08:57:04.975 -> IR=114624, BPM=90.77, Avg BPM=89"
"08:57:04.995 -> IR=114699, BPM=90.77, Avg BPM=89"
"08:57:05.015 -> IR=114759, BPM=90.77, Avg BPM=89"
"08:57:05.035 -> IR=114849, BPM=90.77, Avg BPM=89"
"08:57:05.055 -> IR=114930, BPM=90.77, Avg BPM=89"
"08:57:05.075 -> IR=114972, BPM=90.77, Avg BPM=89"
"08:57:05.095 -> IR=114955, BPM=90.77, Avg BPM=89"
"08:57:05.115 -> IR=114906, BPM=90.77, Avg BPM=89"
"08:57:05.135 -> IR=114884, BPM=90.77, Avg BPM=89"
"08:57:05.155 -> IR=114874, BPM=90.77, Avg BPM=89"
"08:57:05.176 -> IR=114878, BPM=90.77, Avg BPM=89"
"08:57:05.195 -> IR=114920, BPM=90.77, Avg BPM=89"
"08:57:05.215 -> IR=114970, BPM=90.77, Avg BPM=89"
"08:57:05.235 -> IR=115021, BPM=90.77, Avg BPM=89"
"08:57:05.255 -> IR=115061, BPM=90.77, Avg BPM=89"
"08:57:05.275 -> IR=115100, BPM=125.00, Avg BPM=98"
"08:57:05.311 -> IR=115127, BPM=125.00, Avg BPM=98"
"08:57:05.328 -> IR=115135, BPM=125.00, Avg BPM=98"
"08:57:05.345 -> IR=115139, BPM=125.00, Avg BPM=98"
"08:57:05.360 -> IR=115149, BPM=125.00, Avg BPM=98"
"08:57:05.377 -> IR=115153, BPM=125.00, Avg BPM=98"
"08:57:05.395 -> IR=115161, BPM=125.00, Avg BPM=98"
"08:57:05.415 -> IR=115168, BPM=125.00, Avg BPM=98"
"08:57:05.436 -> IR=115186, BPM=125.00, Avg BPM=98"
"08:57:05.456 -> IR=115194, BPM=125.00, Avg BPM=98"
"08:57:05.476 -> IR=115188, BPM=125.00, Avg BPM=98"
"08:57:05.496 -> IR=115083, BPM=125.00, Avg BPM=98"
"08:57:05.516 -> IR=114863, BPM=125.00, Avg BPM=98"
"08:57:05.536 -> IR=114720, BPM=125.00, Avg BPM=98"
"08:57:05.556 -> IR=114738, BPM=125.00, Avg BPM=98"
"08:57:05.576 -> IR=114799, BPM=125.00, Avg BPM=98"
"08:57:05.596 -> IR=114903, BPM=125.00, Avg BPM=98"
"08:57:05.616 -> IR=115004, BPM=125.00, Avg BPM=98"
"08:57:05.636 -> IR=115082, BPM=125.00, Avg BPM=98"
"08:57:05.656 -> IR=115137, BPM=125.00, Avg BPM=98"
"08:57:05.676 -> IR=115170, BPM=125.00, Avg BPM=98"
"08:57:05.696 -> IR=115190, BPM=125.00, Avg BPM=98"
"08:57:05.716 -> IR=115189, BPM=125.00, Avg BPM=98"
"08:57:05.736 -> IR=115176, BPM=125.00, Avg BPM=98"
"08:57:05.756 -> IR=115147, BPM=125.00, Avg BPM=98"
"08:57:05.776 -> IR=115122, BPM=125.00, Avg BPM=98"
"08:57:05.810 -> IR=115131, BPM=125.00, Avg BPM=98"
"08:57:05.830 -> IR=115145, BPM=125.00, Avg BPM=98"
"08:57:05.843 -> IR=115171, BPM=125.00, Avg BPM=98"
"08:57:05.861 -> IR=115200, BPM=125.00, Avg BPM=98"
"08:57:05.877 -> IR=115216, BPM=125.00, Avg BPM=98"
"08:57:05.896 -> IR=115228, BPM=125.00, Avg BPM=98"
"08:57:05.916 -> IR=115245, BPM=125.00, Avg BPM=98"
"08:57:05.936 -> IR=115246, BPM=125.00, Avg BPM=98"
"08:57:05.956 -> IR=115252, BPM=125.00, Avg BPM=98"
"08:57:05.976 -> IR=115254, BPM=125.00, Avg BPM=98"
"08:57:05.996 -> IR=115258, BPM=125.00, Avg BPM=98"
