IR;BPM;AVG BPM;MILLIS
102254;96.46;92;12028
102309;96.46;92;12048
102334;96.46;92;12069
102351;96.46;92;12089
102344;96.46;92;12109
102335;96.46;92;12129
102250;96.46;92;12149
102241;96.46;92;12169
102271;96.46;92;12189
102243;96.46;92;12209
102264;96.46;92;12229
102305;96.46;92;12249
102339;96.46;92;12269
102359;96.46;92;12289
102388;106.95;97;12309
102382;106.95;97;12329
102401;106.95;97;12349
102426;106.95;97;12369
102430;106.95;97;12389
102435;106.95;97;12410
102445;106.95;97;12430
102432;106.95;97;12450
102309;106.95;97;12470
102056;106.95;97;12490
101867;106.95;97;12510
101843;106.95;97;12530
101866;106.95;97;12550
101883;106.95;97;12570
101923;106.95;97;12590
102037;106.95;97;12610
102120;106.95;97;12630
102193;106.95;97;12650
102284;106.95;97;12670
102358;106.95;97;12690
102407;106.95;97;12710
102402;106.95;97;12730
102384;106.95;97;12750
102372;106.95;97;12771
102381;106.95;97;12791
102404;106.95;97;12811
102435;106.95;97;12831
102439;106.95;97;12851
102425;106.95;97;12871
102419;106.95;97;12891
102417;99.67;96;12911
102386;99.67;96;12931
102419;99.67;96;12951
102476;99.67;96;12971
102495;99.67;96;12991
102538;99.67;96;13011
102572;99.67;96;13031
102568;99.67;96;13051
102543;99.67;96;13071
102441;99.67;96;13091
102279;99.67;96;13111
102075;99.67;96;13132
101960;99.67;96;13152
101966;99.67;96;13172
102041;99.67;96;13192
102115;99.67;96;13212
102145;99.67;96;13232
102180;99.67;96;13252
102209;99.67;96;13272
102217;99.67;96;13292
102274;99.67;96;13312
102320;99.67;96;13332
102298;99.67;96;13352
102270;99.67;96;13372
102255;99.67;96;13392
102262;99.67;96;13412
102268;99.67;96;13432
102320;99.67;96;13452
102395;99.67;96;13472
102469;99.67;96;13493
102547;99.67;96;13513
102578;99.67;96;13533
102585;99.67;96;13553
102598;99.67;96;13573
102597;87.98;97;13593
102605;87.98;97;13613
102622;87.98;97;13633
102563;87.98;97;13653
102562;87.98;97;13673
102609;87.98;97;13693
102618;87.98;97;13713
102528;87.98;97;13733
102338;87.98;97;13753
102181;87.98;97;13773
102117;87.98;97;13793
102071;87.98;97;13813
102101;87.98;97;13833
102155;87.98;97;13854
102219;87.98;97;13874
102284;87.98;97;13894
102328;87.98;97;13914
102339;87.98;97;13934
102337;87.98;97;13954
102345;87.98;97;13974
102353;87.98;97;13994
102287;87.98;97;14014
102269;87.98;97;14034
102310;87.98;97;14054
102319;87.98;97;14074
102314;87.98;97;14094
102340;87.98;97;14114
102370;87.98;97;14134
102376;87.98;97;14154
102385;87.98;97;14174
102414;87.98;97;14194
102455;87.98;97;14215
102450;87.98;97;14235
102425;87.98;97;14255
102411;87.98;97;14275
102432;85.47;94;14295
102447;85.47;94;14315
102498;85.47;94;14335
102489;85.47;94;14355
102338;85.47;94;14375
102143;85.47;94;14395
101981;85.47;94;14415
101883;85.47;94;14435
101879;85.47;94;14455
101939;85.47;94;14475
101986;85.47;94;14495
102047;85.47;94;14515
102112;85.47;94;14535
102203;85.47;94;14555
102240;85.47;94;14576
102242;85.47;94;14596
102258;85.47;94;14616
102274;85.47;94;14636
102246;85.47;94;14656
102151;85.47;94;14676
102150;85.47;94;14696
102198;85.47;94;14716
102185;85.47;94;14736
102197;85.47;94;14756
102265;85.47;94;14776
102351;85.47;94;14796
102392;85.47;94;14816
102407;85.47;94;14836
102426;85.47;94;14856
102446;85.47;94;14876
102452;85.47;94;14896
102457;96.62;91;14916
102476;96.62;91;14937
102498;96.62;91;14957
102492;96.62;91;14977
102402;96.62;91;14997
102172;96.62;91;15017
101923;96.62;91;15037
101828;96.62;91;15057
101827;96.62;91;15077
101825;96.62;91;15097
101847;96.62;91;15117
101928;96.62;91;15137
102002;96.62;91;15157
102052;96.62;91;15177
102081;96.62;91;15197
102116;96.62;91;15217
102125;96.62;91;15237
102102;96.62;91;15257
102066;96.62;91;15277
102056;96.62;91;15298
102055;96.62;91;15318
102046;96.62;91;15338
102099;96.62;91;15358
102169;96.62;91;15378
102191;96.62;91;15398
102205;96.62;91;15418
102240;96.62;91;15438
102233;96.62;91;15458
102221;96.62;91;15478
102273;96.62;91;15498
102309;96.62;91;15518
102327;96.62;91;15538
102325;96.62;91;15558
102340;90.63;89;15578
102377;90.63;89;15598
102411;90.63;89;15618
102391;90.63;89;15638
102229;90.63;89;15659
102035;90.63;89;15679
101893;90.63;89;15699
101802;90.63;89;15719
101746;90.63;89;15739
101750;90.63;89;15759
101798;90.63;89;15779
101810;90.63;89;15799
101787;90.63;89;15819
101843;90.63;89;15839
101939;90.63;89;15859
101984;90.63;89;15879
102011;90.63;89;15899
102019;90.63;89;15919
102025;90.63;89;15939
102003;90.63;89;15959
101982;90.63;89;15979
102000;90.63;89;15999
102025;90.63;89;16020
102065;90.63;89;16040
102089;90.63;89;16060
102097;90.63;89;16080
102117;90.63;89;16100
102149;90.63;89;16120
102183;90.63;89;16140
102180;90.63;89;16160
102168;90.63;89;16180
102213;90.63;89;16200
102257;90.63;89;16220
102238;90.63;90;16240
102206;90.63;90;16260
102157;90.63;90;16280
102054;90.63;90;16300
101909;90.63;90;16320
101754;90.63;90;16340
101644;90.63;90;16360
101621;90.63;90;16381
101675;90.63;90;16401
101779;90.63;90;16421
101857;90.63;90;16441
101892;90.63;90;16461
101968;90.63;90;16481
102070;90.63;90;16501
102138;90.63;90;16521
102158;90.63;90;16541
102147;90.63;90;16561
102153;90.63;90;16581
102125;90.63;90;16601
102120;90.63;90;16621
